Designator,Mid X,Mid Y,Layer,Rotation
C10,100.0,-77.5,T,270.0
C11,93.0,-64.0,T,90.0
C12,100.0,-64.0,T,90.0
C13,96.5,-64.5,T,90.0
C14,105.0,-67.5,T,0.0
C15,105.5,-75.0,T,315.0
C16,99.0,-77.0,T,270.0
C17,93.82,-74.22,T,270.0
C18,93.5,-68.0,T,180.0
C19,98.0,-64.5,T,90.0
C20,102.04,-64.5,T,90.0
C21,96.0,-50.0,T,0.0
C22,85.0,-65.5,T,0.0
C23,92.0,-46.0,T,270.0
C7,112.46,-64.91,T,0.0
C8,112.46,-67.41,T,180.0
C9,95.0,-64.5,T,90.0
D1,87.97,-40.24,T,180.0
F1,86.59,-50.07,T,180.0
J4,120.5,-70.0,T,0.0
P1,80.18,-42.02,T,180.0
R1,76.0,-90.0,T,180.0
R10,112.46,-68.41,T,180.0
R11,103.5,-64.0,T,270.0
R12,105.5,-64.0,T,270.0
R13,115.0,-85.0,T,270.0
R14,92.315,-40.2,T,0.0
R18,87.51,-47.1,T,0.0
R19,78.0,-65.5,T,180.0
R2,122.4125,-91.0,T,180.0
R3,77.5,-77.5,T,90.0
R4,87.0,-90.0,T,180.0
R5,86.0,-85.0,T,270.0
R6,102.5,-90.0,T,180.0
R7,104.0,-80.0,T,90.0
R8,122.0,-61.0,T,270.0
R9,93.4625,-67.0,T,180.0
SW7,118.5,-56.5,T,0.0
SW9,82.5,-56.5,T,0.0
U1,99.5,-71.0,T,0.0
U2,80.0,-85.0,T,90.0
U3,81.5,-69.0,T,0.0
U4,98.0,-45.0,T,0.0
U5,91.0,-85.0,T,90.0
U6,109.0,-85.0,T,90.0
U7,120.0,-85.0,T,90.0
Y1,109.0,-68.9,T,90.0
